municipio,uf,sexo,idade,habitantes
Embu-Guaçu,SP,Homens,0 a 4 anos,2144.0
Embu-Guaçu,SP,Homens,5 a 9 anos,2528.0
Embu-Guaçu,SP,Homens,10 a 14 anos,2465.0
Embu-Guaçu,SP,Homens,15 a 19 anos,2526.0
Embu-Guaçu,SP,Homens,20 a 24 anos,2559.0
Embu-Guaçu,SP,Homens,25 a 29 anos,2434.0
Embu-Guaçu,SP,Homens,30 a 34 anos,2301.0
Embu-Guaçu,SP,Homens,35 a 39 anos,2486.0
Embu-Guaçu,SP,Homens,40 a 44 anos,2740.0
Embu-Guaçu,SP,Homens,45 a 49 anos,2311.0
Embu-Guaçu,SP,Homens,50 a 54 anos,2045.0
Embu-Guaçu,SP,Homens,55 a 59 anos,1723.0
Embu-Guaçu,SP,Homens,60 a 64 anos,1568.0
Embu-Guaçu,SP,Homens,65 a 69 anos,1287.0
Embu-Guaçu,SP,Homens,70 a 74 anos,831.0
Embu-Guaçu,SP,Homens,75 a 79 anos,539.0
Embu-Guaçu,SP,Homens,80 a 84 anos,280.0
Embu-Guaçu,SP,Homens,85 a 89 anos,110.0
Embu-Guaçu,SP,Homens,90 a 94 anos,41.0
Embu-Guaçu,SP,Homens,95 a 99 anos,16.0
Embu-Guaçu,SP,Mulheres,0 a 4 anos,1935.0
Embu-Guaçu,SP,Mulheres,5 a 9 anos,2351.0
Embu-Guaçu,SP,Mulheres,10 a 14 anos,2275.0
Embu-Guaçu,SP,Mulheres,15 a 19 anos,2342.0
Embu-Guaçu,SP,Mulheres,20 a 24 anos,2502.0
Embu-Guaçu,SP,Mulheres,25 a 29 anos,2521.0
Embu-Guaçu,SP,Mulheres,30 a 34 anos,2408.0
Embu-Guaçu,SP,Mulheres,35 a 39 anos,2764.0
Embu-Guaçu,SP,Mulheres,40 a 44 anos,2858.0
Embu-Guaçu,SP,Mulheres,45 a 49 anos,2425.0
Embu-Guaçu,SP,Mulheres,50 a 54 anos,2207.0
Embu-Guaçu,SP,Mulheres,55 a 59 anos,1968.0
Embu-Guaçu,SP,Mulheres,60 a 64 anos,1771.0
Embu-Guaçu,SP,Mulheres,65 a 69 anos,1391.0
Embu-Guaçu,SP,Mulheres,70 a 74 anos,1028.0
Embu-Guaçu,SP,Mulheres,75 a 79 anos,616.0
Embu-Guaçu,SP,Mulheres,80 a 84 anos,352.0
Embu-Guaçu,SP,Mulheres,85 a 89 anos,201.0
Embu-Guaçu,SP,Mulheres,90 a 94 anos,88.0
Embu-Guaçu,SP,Mulheres,95 a 99 anos,27.0
