total,year,adm_dependency_detailed_id,education_level_id,adm_dependency_detailed_name,education_level_name,municipio,uf
399,2020,2,14,Estadual,Ensino Fundamental de 9 anos - 1º Ano,Embu-Guaçu,SP
559,2020,2,15,Estadual,Ensino Fundamental de 9 anos - 2º Ano,Embu-Guaçu,SP
574,2020,2,16,Estadual,Ensino Fundamental de 9 anos - 3º Ano,Embu-Guaçu,SP
511,2020,2,17,Estadual,Ensino Fundamental de 9 anos - 4º Ano,Embu-Guaçu,SP
492,2020,2,18,Estadual,Ensino Fundamental de 9 anos - 5º Ano,Embu-Guaçu,SP
834,2020,2,19,Estadual,Ensino Fundamental de 9 anos - 6º Ano,Embu-Guaçu,SP
837,2020,2,20,Estadual,Ensino Fundamental de 9 anos - 7º Ano,Embu-Guaçu,SP
882,2020,2,21,Estadual,Ensino Fundamental de 9 anos - 8º Ano,Embu-Guaçu,SP
839,2020,2,25,Estadual,Ensino Médio - 1ª Série,Embu-Guaçu,SP
951,2020,2,26,Estadual,Ensino Médio - 2ª Série,Embu-Guaçu,SP
915,2020,2,27,Estadual,Ensino Médio - 3ª Série,Embu-Guaçu,SP
39,2020,2,30,Estadual,Curso Técnico Integrado (Ensino Médio Integrado) 1ª Série,Embu-Guaçu,SP
746,2020,2,41,Estadual,Ensino Fundamental de 9 anos - 9º Ano,Embu-Guaçu,SP
61,2020,2,70,Estadual,EJA - Ensino Fundamental - Anos Finais,Embu-Guaçu,SP
113,2020,2,71,Estadual,EJA - Ensino Médio,Embu-Guaçu,SP
1272,2020,3,1,Municipal,Educação Infantil - Creche,Embu-Guaçu,SP
1677,2020,3,2,Municipal,Educação Infantil - Pré-Escola,Embu-Guaçu,SP
596,2020,3,14,Municipal,Ensino Fundamental de 9 anos - 1º Ano,Embu-Guaçu,SP
332,2020,3,15,Municipal,Ensino Fundamental de 9 anos - 2º Ano,Embu-Guaçu,SP
355,2020,3,16,Municipal,Ensino Fundamental de 9 anos - 3º Ano,Embu-Guaçu,SP
388,2020,3,17,Municipal,Ensino Fundamental de 9 anos - 4º Ano,Embu-Guaçu,SP
356,2020,3,18,Municipal,Ensino Fundamental de 9 anos - 5º Ano,Embu-Guaçu,SP
88,2020,3,19,Municipal,Ensino Fundamental de 9 anos - 6º Ano,Embu-Guaçu,SP
76,2020,3,20,Municipal,Ensino Fundamental de 9 anos - 7º Ano,Embu-Guaçu,SP
70,2020,3,21,Municipal,Ensino Fundamental de 9 anos - 8º Ano,Embu-Guaçu,SP
55,2020,3,41,Municipal,Ensino Fundamental de 9 anos - 9º Ano,Embu-Guaçu,SP
27,2020,3,69,Municipal,EJA - Ensino Fundamental - Anos Iniciais EJA - Ensino Fundamental - Anos Iniciais,Embu-Guaçu,SP
3,2020,6,1,Privada não conveniada sem fins lucrativos,Educação Infantil - Creche,Embu-Guaçu,SP
105,2020,6,2,Privada não conveniada sem fins lucrativos,Educação Infantil - Pré-Escola,Embu-Guaçu,SP
120,2020,6,14,Privada não conveniada sem fins lucrativos,Ensino Fundamental de 9 anos - 1º Ano,Embu-Guaçu,SP
121,2020,6,15,Privada não conveniada sem fins lucrativos,Ensino Fundamental de 9 anos - 2º Ano,Embu-Guaçu,SP
121,2020,6,16,Privada não conveniada sem fins lucrativos,Ensino Fundamental de 9 anos - 3º Ano,Embu-Guaçu,SP
123,2020,6,17,Privada não conveniada sem fins lucrativos,Ensino Fundamental de 9 anos - 4º Ano,Embu-Guaçu,SP
124,2020,6,18,Privada não conveniada sem fins lucrativos,Ensino Fundamental de 9 anos - 5º Ano,Embu-Guaçu,SP
75,2020,6,19,Privada não conveniada sem fins lucrativos,Ensino Fundamental de 9 anos - 6º Ano,Embu-Guaçu,SP
77,2020,6,20,Privada não conveniada sem fins lucrativos,Ensino Fundamental de 9 anos - 7º Ano,Embu-Guaçu,SP
59,2020,6,21,Privada não conveniada sem fins lucrativos,Ensino Fundamental de 9 anos - 8º Ano,Embu-Guaçu,SP
58,2020,6,41,Privada não conveniada sem fins lucrativos,Ensino Fundamental de 9 anos - 9º Ano,Embu-Guaçu,SP
160,2020,7,1,Privada não conveniada com fins lucrativos,Educação Infantil - Creche,Embu-Guaçu,SP
213,2020,7,2,Privada não conveniada com fins lucrativos,Educação Infantil - Pré-Escola,Embu-Guaçu,SP
121,2020,7,14,Privada não conveniada com fins lucrativos,Ensino Fundamental de 9 anos - 1º Ano,Embu-Guaçu,SP
137,2020,7,15,Privada não conveniada com fins lucrativos,Ensino Fundamental de 9 anos - 2º Ano,Embu-Guaçu,SP
140,2020,7,16,Privada não conveniada com fins lucrativos,Ensino Fundamental de 9 anos - 3º Ano,Embu-Guaçu,SP
144,2020,7,17,Privada não conveniada com fins lucrativos,Ensino Fundamental de 9 anos - 4º Ano,Embu-Guaçu,SP
127,2020,7,18,Privada não conveniada com fins lucrativos,Ensino Fundamental de 9 anos - 5º Ano,Embu-Guaçu,SP
170,2020,7,19,Privada não conveniada com fins lucrativos,Ensino Fundamental de 9 anos - 6º Ano,Embu-Guaçu,SP
180,2020,7,20,Privada não conveniada com fins lucrativos,Ensino Fundamental de 9 anos - 7º Ano,Embu-Guaçu,SP
158,2020,7,21,Privada não conveniada com fins lucrativos,Ensino Fundamental de 9 anos - 8º Ano,Embu-Guaçu,SP
132,2020,7,25,Privada não conveniada com fins lucrativos,Ensino Médio - 1ª Série,Embu-Guaçu,SP
130,2020,7,26,Privada não conveniada com fins lucrativos,Ensino Médio - 2ª Série,Embu-Guaçu,SP
113,2020,7,27,Privada não conveniada com fins lucrativos,Ensino Médio - 3ª Série,Embu-Guaçu,SP
112,2020,7,41,Privada não conveniada com fins lucrativos,Ensino Fundamental de 9 anos - 9º Ano,Embu-Guaçu,SP
